updated_species_id,updated_compound_id,charge,value,name of file,data type,original order,old_compound_id,old_species_id
CHB_48087_0,CHB_48087,0,399.1536,312_Cp,Cp,1509,CHB_48087,CHB_48087_0
PBC_12309_0,PBC_12309,0,487.8544,313_Cp,Cp,1510,PBC_12309,PBC_12309_0
PBC_12732_0,PBC_12732,0,576.5552,314_Cp,Cp,1511,PBC_12732,PBC_12732_0
PBC_12350_0,PBC_12350,0,665.256,315_Cp,Cp,1512,PBC_12350,PBC_12350_0
PBC_12370_0,PBC_12370,0,753.9568,316_Cp,Cp,1513,PBC_12370,PBC_12370_0
CHB_42630_0,CHB_42630,0,605.8432,317_Cp,Cp,1514,CHB_42630,CHB_42630_0
PBC_10864_0,PBC_10864,0,783.2448,318_Cp,Cp,1515,PBC_10864,PBC_10864_0
PBC_14109_0,PBC_14109,0,871.9456,319_Cp,Cp,1516,PBC_14109,PBC_14109_0
PBC_14115_0,PBC_14115,0,960.6464,320_Cp,Cp,1517,PBC_14115,PBC_14115_0
PBC_16607_0,PBC_16607,0,1049.3472,321_Cp,Cp,1518,PBC_16607,PBC_16607_0
CHB_87393_0,CHB_87393,0,604.1696,322_Cp,Cp,1519,CHB_87393,CHB_87393_0
PBC_8129_0,PBC_8129,0,728.8528,323_Cp,Cp,1520,CHB_88619,CHB_88619_0
CHB_6858_0,CHB_6858,0,336.3936,324_Cp,Cp,1521,CHB_6858,CHB_6858_0
CHB_89206_0,CHB_89206,0,513.7952,325_Cp,Cp,1522,CHB_89206,CHB_89206_0
CHB_87434_0,CHB_87434,0,691.1968,326_Cp,Cp,1523,CHB_87434,CHB_87434_0
CHB_15862_0,CHB_15862,0,237.6512,327_Cp,Cp,1524,CHB_15862,CHB_15862_0
CHB_39870_0,CHB_39870,0,326.352,328_Cp,Cp,1525,CHB_39870,CHB_39870_0
CHB_43799_0,CHB_43799,0,411,329_Cp,Cp,1526,CHB_43799,CHB_43799_0
CHB_74848_0,CHB_74848,0,514.632,330_Cp,Cp,1527,CHB_74848,CHB_74848_0
PBC_8127_0,PBC_8127,0,681.1552,331_Cp,Cp,1528,PBC_8127,PBC_8127_0
PBC_8143_0,PBC_8143,0,769.856,332_Cp,Cp,1529,PBC_8143,PBC_8143_0
CHB_30363_0,CHB_30363,0,560.32128,333_Cp,Cp,1530,CHB_30363,CHB_30363_0
CHB_30362_0,CHB_30362,0,646.93008,334_Cp,Cp,1531,CHB_30362,CHB_30362_0
