Ca,Co,IS,K,Keq,Li,Mg,Mn,Na,T,Zn,deltaH,pH,rxn_formula,rxn_id,reference_id
,,0.11724276,0.05,0.034,,0.001993608,,,308.15,,,7.25,CHB_15422 + CHB_16344 = CHB_16034 + CHB_16761,Keq_3694,89ELL
,,0.117242366,0.05,0.034,,0.001993608,,,308.15,,,7.25,CHB_15422 + CHB_17228 = CHB_16761 + PBC_439923,Keq_3695,89ELL
,,0.25,,400,,,,,312.5,,,4.9,CHB_15377 + PBC_78357834 = CHB_17306 + CHB_495055,Keq_4015,92LEE/HAN
,,0.117322895,0.05,0.031,,0.001993608,,,308.15,,,7.25,CHB_15422 + CHB_16585 = CHB_16761 + CHB_18039,Keq_3696,89ELL
,,0.25,0.212,269,,0.0048,,,311.15,,,7,CHB_15377 + CHB_17794 = CHB_16659 + CHB_26078,Keq_3062,82GUY
,,0.084,,,,,,,298.15,,-78.9,7.01,CHB_15377 + CHB_18208 = CHB_61222,deltaH_739,94KIS/TEW
,,0.083,,,,,,,298.15,,-77.1,6.98,CHB_15377 + CHB_18208 = CHB_61222,deltaH_738,94KIS/TEW
,,0.001047099,,10,,,,,298.15,,,7,CHB_15517 + CHB_50428 = CHB_36926 + MAN_10081,Keq_669,54GRE/MII
,,0.078,,,,,,,304.65,,-77.1,6.53,CHB_15377 + CHB_18208 = CHB_61222,deltaH_733,94KIS/TEW
,,0.077,,,,,,,298.15,,-84,7.96,CHB_15377 + CHB_28971 = PBC_6453491,deltaH_732,94KIS/TEW
,,0.076,,,,,,,298.15,,-83.2,7.5,CHB_15377 + CHB_28971 = PBC_6453491,deltaH_731,94KIS/TEW
,,0.075,,,,,,,298.15,,-76.9,7.06,CHB_15377 + CHB_28971 = PBC_6453491,deltaH_730,94KIS/TEW
,,0.082,,,,,,,298.15,,-79.5,6.01,CHB_15377 + CHB_18208 = CHB_61222,deltaH_737,94KIS/TEW
,,0.081,,,,,,,298.15,,-77.7,7.51,CHB_15377 + CHB_18208 = CHB_61222,deltaH_736,94KIS/TEW
,,0.08,,,,,,,298.15,,-78.4,7,CHB_15377 + CHB_18208 = CHB_61222,deltaH_735,94KIS/TEW
,,0.079,,,,,,,310.15,,-76.5,6.53,CHB_15377 + CHB_18208 = CHB_61222,deltaH_734,94KIS/TEW
,,0.25,,2.7,,,,,310.15,,,7,CHB_15377 + CHB_21557 = CHB_16643 + CHB_30089,Keq_4105,95BIS/KRA
,,2.001,,,,,,,298.15,,-26.2,6.67,CHB_15377 + PBC_188293 = CHB_16134 + PBC_97369,deltaH_224,56FOR/GUT
,,0.064135681,0.01,,,,,,293.15,,-64.4,8,CHB_15377 + CHB_15422 = CHB_16761 + CHB_26078,deltaH_227,56POD/MOR
,,0.054134691,,640,,,,,298.15,,,8,CHB_16856 + CHB_78399 = MAN_10125,Keq_4106,95CHE/ARM
,,2.001,,,,,,,298.15,,-28.7,6.96,CHB_15377 + PBC_188293 = CHB_16134 + PBC_97369,deltaH_221,56FOR/GUT
,,2.001,,,,,,,298.15,,-26.5,6.55,CHB_15377 + PBC_188293 = CHB_16134 + PBC_97369,deltaH_220,56FOR/GUT
,,2.001,,,,,,,298.15,,-26.7,6.4,CHB_15377 + PBC_188293 = CHB_16134 + PBC_97369,deltaH_223,56FOR/GUT
,,2.001,,,,,,,298.15,,-27.4,6.67,CHB_15377 + PBC_188293 = CHB_16134 + PBC_97369,deltaH_222,56FOR/GUT
,,0.25,,290,,,,,322.6,,,4.9,CHB_15377 + PBC_78357834 = CHB_17306 + CHB_495055,Keq_4014,92LEE/HAN
,,0.169366685,,6.42E-05,,,,0.089421722,298.15,,,7.1,CHB_15846 + CHB_17754 = CHB_16016 + CHB_16908,Keq_743,55BUR
,,0.33,,0.876,,,,,298.15,,,7.74,CHB_16810 + CHB_17895 = CHB_29985 + CHB_36242,Keq_4221,98TEW/KIS
,,0.117242297,0.05,0.076,,0.001993608,,,308.15,,,7.25,CHB_15422 + CHB_16467 = CHB_16761 + CHB_18412,Keq_3693,89ELL
,,0.654135681,0.6,,,,,,293.15,,-67.8,8,CHB_15377 + CHB_15422 = CHB_16761 + CHB_26078,deltaH_229,56POD/MOR
,,0.204135681,0.15,,,,,,293.15,,-68.6,8,CHB_15377 + CHB_15422 = CHB_16761 + CHB_26078,deltaH_228,56POD/MOR
,,0.845,0.09,0.151,,0.0005,,,298.15,,,7.4,CHB_30936 = CHB_15361 + CHB_30089,Keq_3607,87BUC/MIL
,,0.648,0.09,0.212,,0.0005,,,298.15,,,7.4,CHB_30936 = CHB_15361 + CHB_30089,Keq_3606,87BUC/MIL
,,0.160986221,,0.065,,0.01,,0.047999787,298.15,,,7.3,CHB_15422 = CHB_17489 + CHB_18361,Keq_1997,71HAY/GRE
,,0.120596161,0.1,41,,,,,310.15,,,7.2,CHB_15351 + CHB_15354 = CHB_15346 + CHB_15355,Keq_1996,71GLO/POT
,,0.104,0.04,1.17E-05,,,,0.021,298.15,,,6.91,CHB_15846 + CHB_32796 = CHB_16810 + CHB_16908,Keq_3603,87BUC/MIL
,,2,,128,,,,,298.15,,,10.17,CHB_15377 + PBC_101436 = CHB_16704 + CHB_16830,Keq_1990,71COH/WOL
,,0.1,0.036,4.93E-05,,,,0.02,298.15,,,7.45,CHB_15846 + CHB_32796 = CHB_16810 + CHB_16908,Keq_3601,87BUC/MIL
,,0.099,0.036,3.97E-05,,,,0.01,298.15,,,7.45,CHB_15846 + CHB_32796 = CHB_16810 + CHB_16908,Keq_3600,87BUC/MIL
,,0.121546096,,0.662,,0.00243,,,303.15,,,5,2 CHB_16761 = CHB_15422 + CHB_16027,Keq_1999,71HOR/HUS
,,0.076506548,,1.01,,0.002,,,303.15,,,7.6,2 CHB_16761 = CHB_15422 + CHB_16027,Keq_1998,71HOR/HUS
,,0.25,0.21,47.8,,0.0067,,,311.15,,,7,CHB_15377 + CHB_15811 = CHB_17115 + CHB_26078,Keq_3186,82GUY/THA
,,0.399,0.09,0.188,,0.0005,,,298.15,,,7.4,CHB_30936 = CHB_15361 + CHB_30089,Keq_3608,87BUC/MIL
,,0.25,,1.05,,,,,310.15,,,7.4,CHB_29052 + MAN_10207 = CHB_48153 + CHB_61553,Keq_1281,61RAC2
,,0.548458676,,0.53,,,,,303.15,,,7.1,CHB_15422 + CHB_17228 = CHB_16761 + PBC_439923,Keq_1280,61PRA
,,0.092024435,,1.05263,,,,,310.15,,,7.4,CHB_29052 + MAN_10207 = CHB_48153 + CHB_61553,Keq_1283,61VEN/RAC
,,0.094407826,,0.0111,,,,0.089038356,298.15,,,11.1,CHB_15377 + CHB_15603 + CHB_15846 = CHB_16134 + CHB_16908 + CHB_48430,Keq_1282,61SAN/ZIN
,,0.094623988,,673,,,,,308.15,,,7.05,CHB_15377 + CHB_15811 = CHB_17115 + CHB_26078,Keq_1285,61VLA/KOM
,,0.884611644,,287,,,,,308.15,,,9.7,CHB_15377 + CHB_15811 = CHB_17115 + CHB_26078,Keq_1284,61VLA/KOM
,,0.102045549,0.01,0.0222,,,,,312.15,,,7,CHB_29991 = CHB_16134 + CHB_29806,Keq_1287,61WIL/WIL
,,0.100920243,0.01,0.0099,,,,,302.15,,,7,CHB_29991 = CHB_16134 + CHB_29806,Keq_1286,61WIL/WIL
