metal_type,dG,dH,dS,S,c1,c2,w
Mg,-453984.92,-465959.528,-40.16303203,-138.072,87.0272,-24.652128,6.4316448
Mn,-230538.4,-221333.6,30.87305048,-67.7808,69.7355648,-16.1908248,5.8601104
Ca,-552790.08,-543083.2,32.55703505,-56.484,37.656,-10.552048,5.1739344
Zn,-147276.8,-153385.44,-20.48847895,-109.6208,78.40816,-22.46808,6.0977616
Na,-261880.744,-240299.672,72.38327017,58.40864,76.06512,-12.472504,1.3832304
K,-282461.84,-252169.68,101.6004025,101.0436,30.9616,-7.493544,0.8062568
Li,-292599.672,-278453.568,47.4462653,11.2968,80.3328,-1.00416,2.0342608
unit,J/mol,J/mol,J/mol/K,J/mol/K,J/mol/K,J*K/mol,J/mol
